Iteration;Value;Population;Vector_len;Test;Mutation
66;3.249981745663544e-05;500;4;michalewicz;de_best_2
67;3.249981745663544e-05;500;4;michalewicz;de_best_2
68;3.249981745663544e-05;500;4;michalewicz;de_best_2
69;3.249981745663544e-05;500;4;michalewicz;de_best_2
70;3.249981745663544e-05;500;4;michalewicz;de_best_2
71;3.249981745663544e-05;500;4;michalewicz;de_best_2
72;3.249981745663544e-05;500;4;michalewicz;de_best_2
73;3.249981745663544e-05;500;4;michalewicz;de_best_2
74;3.249981745663544e-05;500;4;michalewicz;de_best_2
75;3.249981745663544e-05;500;4;michalewicz;de_best_2
76;3.249981745663544e-05;500;4;michalewicz;de_best_2
77;3.249981745663544e-05;500;4;michalewicz;de_best_2
78;3.249981745663544e-05;500;4;michalewicz;de_best_2
79;3.249981745663544e-05;500;4;michalewicz;de_best_2
80;3.249981745663544e-05;500;4;michalewicz;de_best_2
81;3.249981745663544e-05;500;4;michalewicz;de_best_2
82;3.249981745663544e-05;500;4;michalewicz;de_best_2
83;3.249981745663544e-05;500;4;michalewicz;de_best_2
84;3.249981745663544e-05;500;4;michalewicz;de_best_2
85;3.249981745663544e-05;500;4;michalewicz;de_best_2
